category,subcategory,date,location,payee,description,method,amount
Food/Drink,Groceries,6/9/14,,ARGUELLO SUPERMARK,CHECK CRD PURCHASE 06/07 ARGUELLO SUPERMARK SAN FRANCISCO CA 434256XXXXXX8245 284158653707728 ?MCC=5411,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2043
Food/Drink,Groceries,6/9/14,,SUPERETTE MARKET,CHECK CRD PURCHASE 06/05 SUPERETTE MARKET SAN FRANCISCO CA 434256XXXXXX8245 004157162289392 ?MCC=5499,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,677
Food/Drink,Groceries,6/9/14,,SUPERETTE MARKET,CHECK CRD PURCHASE 06/06 SUPERETTE MARKET SAN FRANCISCO CA 434256XXXXXX8245 164158151993252 ?MCC=5499,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2786
Food/Drink,Restaurants,6/9/14,,AMASIA HIDES SUSHI,CHECK CRD PURCHASE 06/07 AMASIA HIDES SUSHI SAN FRANCISCO CA 434256XXXXXX8245 584159168525822 ?MCC=5812,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,11087
Pets,Pet Food/Supplies,6/9/14,,BLACK NOSE TRAD 342 DI,POS PURCHASE - BLACK NOSE TRAD 342 DI SAN FRANCISCOCA 8245 00464160012752324 ?MCC=5995,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,4388
Food/Drink,Restaurants,6/10/14,,ESCAPE FRM NEW YRK,CHECK CRD PURCHASE 06/08 ESCAPE FRM NEW YRK SAN FRANCISCO CA 434256XXXXXX8245 304160071067341 ?MCC=5812,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2986
Food/Drink,Restaurants,6/10/14,,WONDERLAND RESTAUR,CHECK CRD PURCHASE 06/08 WONDERLAND RESTAUR 415-6695157 CA 434256XXXXXX8245 304159753925447 ?MCC=5812,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2451
Entertainment,Books/Magazines/Newspapers,6/11/14,,2BUYSAFE.COM,RECUR DEBIT CRD PMT06/10 2BuySafe.com +18772926378 NL 434256XXXXXX8245 084161359049064 ?MCC=5968,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1100
Auto/Transportation,Gasoline,6/13/14,,76 10093623 SAN FRANCISCO CA,CHECK CRD PURCHASE 06/12 76 10093623 SAN FRANCISCO CA 434256XXXXXX8245 384163191806581 ?MCC=5542,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,5203
Auto/Transportation,Gasoline,6/13/14,,EXXON MOBIL POS,POS PURCHASE - EXXONMOBIL POS SANTA MARIA CA 8245 00000000145807692 ?MCC=5542,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,4395
Cash/ATM,Wells Fargo ATM,6/13/14,,,ATM WITHDRAWAL - 7135 EL CAMINO REAL ATASCADERO CA 8245 0008057,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,6000
Food/Drink,Groceries,6/13/14,,VONS,POS PURCHASE - VONS Store 2314 ATASCADERO CA 8245 00304164725684548 ?MCC=5411,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,15170
Auto/Transportation,Gasoline,6/17/14,,76 00370304 GILROY,CHECK CRD PURCHASE 06/16 76 00370304 GILROY CA 434256XXXXXX8245 464167102650019 ?MCC=5542,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,4663
Food/Drink,Groceries,6/17/14,,MUNCHERY,"RECUR DEBIT CRD PMT06/16 MUNCHERY, INC. 888-458-5376 CA 434256XXXXXX8245 304167569714729 ?MCC=5499",Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2885
Shopping,Other Shopping,6/17/14,,PAYPAL,PAYPAL INST XFER 140617 J222222QGRSHC TRAVIS LAWRENCE PAYPALSI66 J222222QGRSHC 0O00000091003755042999,Old Checking XXXXXX5384,6021
Entertainment,Books/Magazines/Newspapers,6/18/14,,NETFLIX.COM,RECUR DEBIT CRD PMT06/17 NETFLIX.COM NETFLIX.COM CA 434256XXXXXX8245 384168425690898 ?MCC=5968,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,799
Uncategorized Payments,Electronic Payments,6/18/14,,AAA NCNU,AAA NCNU MEM./INS. 140617 3436322 Travis *Lawrence 0000197845 3436322 0R00000091003758378373,Old Checking XXXXXX5384,5700
Food/Drink,Fast Food,6/19/14,,THE LITTLE CHIHUAH,CHECK CRD PURCHASE 06/18 THE LITTLE CHIHUAH SAN FRANCISCO CA 434256XXXXXX8245 464169086667101 ?MCC=5814,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2153
Cash/ATM,Wells Fargo ATM,6/20/14,,,ATM WITHDRAWAL - SAN FRANCISCO DIVISAD SAN FRANCISCO CA 8245 0000288,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,8000
Credit Card/Loan Payments,Loan/Line of Credit Payments,6/20/14,,WELLS FARGO CONSUMER LOANS & LINES OF CREDIT,ONLINE TRANSFER REF #IBECBZ59JF TO PERSONAL LOAN UNSECURED XXXXXX90710001 ON 06/20/14,Old Checking XXXXXX5384,32487
Food/Drink,Restaurants,6/20/14,,BUS STOP PIZZA,CHECK CRD PURCHASE 06/18 BUS STOP PIZZA #1 SAN FRANCISCO CA 434256XXXXXX8245 304170123201187 ?MCC=5812,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,868
Food/Drink,Restaurants,6/20/14,,SUPER DUPER BURGER,CHECK CRD PURCHASE 06/19 SUPER DUPER BURGER SAN FRANCISCO CA 434256XXXXXX8245 284171102836614 ?MCC=5812,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2556
Bills/Utilities,Phone/Internet,6/21/14,ATLANTA,AT&T MOBILITY,Phone/Internet-AT&T MOBILITY,Old Checking XXXXXX5384,17199
Credit Card/Loan Payments,Non-Wells Fargo Credit Card Payments,6/21/14,CITY OF INDUSTRY,CAPITAL ONE CREDIT CARD,Card Payments (non-WF)-CAPITAL ONE CREDIT CARD,Old Checking XXXXXX5384,115112
Food/Drink,Restaurants,6/23/14,,RAGAZZA,CHECK CRD PURCHASE 06/20 RAGAZZA SAN FRANCISCO CA 434256XXXXXX8245 384172090451980 ?MCC=5812,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,3942
Food/Drink,Restaurants,6/23/14,,THE GRIND CAFE,CHECK CRD PURCHASE 06/21 THE GRIND CAFE SAN FRANCISCO CA 434256XXXXXX8245 384173017384644 ?MCC=5812,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2259
Shopping,Clothing/Accessories,6/23/14,,URBAN OUTFITTER URBAN,POS PURCHASE - URBAN OUTFITTER URBAN SAN FRANCISCOCA 8245 00384174845383201 ?MCC=5651,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,12843
Credit Card/Loan Payments,Non-Wells Fargo Credit Card Payments,6/24/14,DES MOINES,CITI CARDS,Card Payments (non-WF)-CITI CARDS,Old Checking XXXXXX5384,237881
Entertainment,Music,6/24/14,,APL APPLE ITUNES S,CHECK CRD PURCHASE 06/23 APL*APPLE ITUNES S 866-712-7753 CA 434256XXXXXX8245 384174131949165 ?MCC=5735,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,99
Food/Drink,Restaurants,6/24/14,,ESCAPE FRM NEW YRK,CHECK CRD PURCHASE 06/22 ESCAPE FRM NEW YRK SAN FRANCISCO CA 434256XXXXXX8245 384173768995306 ?MCC=5812,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,3176
Food/Drink,Restaurants,6/24/14,,ICHI SUSHI NI BA,CHECK CRD PURCHASE 06/23 ICHI SUSHI + NI BA SAN FRANCISCO CA 434256XXXXXX8245 304175099943323 ?MCC=5812,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,21185
Food/Drink,Fast Food,6/26/14,,THE LITTLE CHIHUAH,CHECK CRD PURCHASE 06/25 THE LITTLE CHIHUAH SAN FRANCISCO CA 434256XXXXXX8245 304176124208800 ?MCC=5814,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2267
Insurance/Financial,Other Insurance/Financial,6/26/14,,WELLS FARGO,INTERNATIONAL PURCHASE TRANSACTION FEE,PMA Checking XXXXXX5366,392
Travel,Lodging,6/26/14,,SEASIDE CABANAS,DEBIT CRD PUR INTL 06/25 SEASIDE CABANAS CAYE CAULKER BZ 434256XXXXXX8245 584176519775788 ?MCC=7011,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,13086
Cash/ATM,Wells Fargo ATM,6/27/14,,,ATM WITHDRAWAL - SAN FRANCISCO DIVISAD SAN FRANCISCO CA 8245 0002005,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,20000
Shopping,Clothing/Accessories,6/27/14,,OLUKAI,"CHECK CRD PURCHASE 06/25 OLUKAI, LLC 949-334-0575 CA 434256XXXXXX8245 004173628781960 ?MCC=5661",Debit Card/ATM Card XXXX-XXXX-XXXX-8245,6338
Shopping,Other Shopping,6/27/14,,PAYPAL,PAYPAL INST XFER 140627 CRAIGMATOES TRAVIS LAWRENCE PAYPALSI77 CRAIGMATOES 0O00000091004354461806,Old Checking XXXXXX5384,4000
Auto/Transportation,Public Transportation,6/30/14,,BART-CLIPPER,CHECK CRD PURCHASE 06/27 BART-CLIPPER 24TH 5104646979 CA 434256XXXXXX8245 384179186152061 ?MCC=4111,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2000
Business/Office,Postage/Shipping,6/30/14,,US),POS PURCHASE - USPS 0568430057 SAN FRANCISCOCA 8245 00000000449245666 ?MCC=9402,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,685
Cash/ATM,Wells Fargo ATM,6/30/14,,,ATM WITHDRAWAL - 1 MONTGOMERY ST SAN FRANCISCO CA 8245 0008539,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,10000
Cash/ATM,Wells Fargo ATM,6/30/14,,,ATM WITHDRAWAL - SAN FRANCISCO SFWAY # SAN FRANCISCO CA 8245 0009983,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,20000
Food/Drink,Fast Food,6/30/14,,THE LITTLE CHIHUAH,CHECK CRD PURCHASE 06/27 THE LITTLE CHIHUAH SAN FRANCISCO CA 434256XXXXXX8245 304178037370203 ?MCC=5814,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,962
Food/Drink,Groceries,6/30/14,,FALLETTI FOODS,CHECK CRD PURCHASE 06/27 FALLETTI FOODS SAN FRANCISCO CA 434256XXXXXX8245 084178731884379 ?MCC=5411,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1438
Food/Drink,Groceries,6/30/14,,SUPERETTE MARKET,CHECK CRD PURCHASE 06/27 SUPERETTE MARKET SAN FRANCISCO CA 434256XXXXXX8245 284178859297443 ?MCC=5499,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1225
Food/Drink,Groceries,6/30/14,,SUPERETTE MARKET,CHECK CRD PURCHASE 06/27 SUPERETTE MARKET SAN FRANCISCO CA 434256XXXXXX8245 284178195344138 ?MCC=5499,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,645
Food/Drink,Restaurants,6/30/14,,BURGERMEISTER CAST,CHECK CRD PURCHASE 06/26 BURGERMEISTER CAST SAN FRANCISCO CA 434256XXXXXX8245 584177096334252 ?MCC=5812,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,3368
Food/Drink,Fast Food,7/1/14,,THE LITTLE CHIHUAH,CHECK CRD PURCHASE 06/29 THE LITTLE CHIHUAH SAN FRANCISCO CA 434256XXXXXX8245 304179646518166 ?MCC=5814,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2175
Food/Drink,Restaurants,7/1/14,,ESCAPE FRM NEW YRK,CHECK CRD PURCHASE 06/29 ESCAPE FRM NEW YRK SAN FRANCISCO CA 434256XXXXXX8245 584180685781575 ?MCC=5812,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,5845
Insurance/Financial,Other Insurance/Financial,7/1/14,DALLAS,STATE FARM INSURANCE COMPANIES,Other Insurance/Financial-STATE FARM INSURANCE COMPANIES,Old Checking XXXXXX5384,4785
Bills/Utilities,Gas/Electric,7/2/14,SACRAMENTO,PACIFIC GAS & ELECTRIC -PG&E,Gas/Electric-PACIFIC GAS & ELECTRIC -PG&E,Old Checking XXXXXX5384,3687
Cash/ATM,Wells Fargo ATM,7/2/14,,,ATM WITHDRAWAL - SAN FRANCISCO DIVISAD SAN FRANCISCO CA 8245 0003888,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,6000
Shopping,Clothing/Accessories,7/2/14,,RVC,POS PURCHASE - 0521 RVC SF 1485 HAI SAN FRANCISCOCA 8245 00304183795121568 ?MCC=5691,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,5340
Uncategorized Payments,Electronic Payments,7/2/14,,UNBLOCK US,UNBLOCKUS INC. IAT PAYPAL 140702 4JT2286Y89G3E TRAVIS LAWRENCE 770510487C 4JT2286Y89G3E 0O00000091004153535223,Old Checking XXXXXX5384,482
Auto/Transportation,Parking/Tolls,7/3/14,,FASTRAK CSC,CHECK CRD PURCHASE 07/01 FASTRAK CSC 415-486-8655 CA 434256XXXXXX8245 304182544187302 ?MCC=4784,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,3000
Auto/Transportation,Parking/Tolls,7/3/14,,UNION SQUARE GARAG,CHECK CRD PURCHASE 07/02 UNION SQUARE GARAG SAN FRANCISCO CA 434256XXXXXX8245 584183703975796 ?MCC=7523,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,550
Cash/ATM,Non-Wells Fargo ATM,7/3/14,,,ATM WITHDRAWAL - 22 CC WATER TAXI BELIZE BANBelize BZ 8245 00384184839361861,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,7213
Food/Drink,Fast Food,7/3/14,,STARBUCKS,CHECK CRD PURCHASE 07/02 STARBUCKS #06469 P Point Richmon CA 434256XXXXXX8245 584183652546408 ?MCC=5814,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1070
Food/Drink,Groceries,7/3/14,,FALLETTI FOODS 308 BRO SAN FRANCISCOCA,POS PURCHASE - FALLETTI FOODS 308 BRO SAN FRANCISCOCA 8245 00464184076327503 ?MCC=5411,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2742
Food/Drink,Restaurants,7/3/14,,BURGERMEISTER CAST,CHECK CRD PURCHASE 07/01 BURGERMEISTER CAST SAN FRANCISCO CA 434256XXXXXX8245 464182047944957 ?MCC=5812,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,3042
Food/Drink,Restaurants,7/3/14,,STREETTACO,CHECK CRD PURCHASE 07/02 STREETTACO SAN FRANCISCO CA 434256XXXXXX8245 584183816788089 ?MCC=5812,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2175
Personal Care,Hair Care/Beauty Supply,7/3/14,,TRIMMERS,CHECK CRD PURCHASE 07/02 TRIMMERS SAN FRANCISCO CA 434256XXXXXX8245 384183847355621 ?MCC=7230,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2400
Credit Card/Loan Payments,Mortgage Payments,7/5/14,Vallejo,JACKSON SQUARE WEST HOA,Mortgage Payments-Jackson Square West HOA,Old Checking XXXXXX5384,33300
Cash/ATM,Non-Wells Fargo ATM,7/7/14,,,ATM WITHDRAWAL - Caye Caulker BrCAYE CAULKBELIZE BZ 8245 00584186026372201,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,20177
Cash/ATM,Non-Wells Fargo ATM,7/7/14,,,ATM WITHDRAWAL - Caye Caulker BrCAYE CAULKBELIZE BZ 8245 00464187792237795,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,25221
Cash/ATM,Non-Wells Fargo ATM,7/7/14,,,ATM WITHDRAWAL - Caye Caulker BrCAYE CAULKBELIZE BZ 8245 00584188835025297,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,30265
Credit Card/Loan Payments,Mortgage Payments,7/7/14,,WELLS FARGO HOME MORTGAGE,ONLINE TRANSFER REF #IBEQXBXK5C TO MORTGAGE VIA MOBILE,Old Checking XXXXXX5384,259254
Insurance/Financial,Other Insurance/Financial,7/7/14,,WELLS FARGO,INTERNATIONAL PURCHASE TRANSACTION FEE,PMA Checking XXXXXX5366,90
Insurance/Financial,Other Insurance/Financial,7/7/14,,WELLS FARGO,NON-WELLS FARGO ATM TRANSACTION FEE,PMA Checking XXXXXX5366,500
Insurance/Financial,Other Insurance/Financial,7/7/14,,WELLS FARGO,NON-WELLS FARGO ATM TRANSACTION FEE,PMA Checking XXXXXX5366,500
Travel,Lodging,7/7/14,,RADISSON HOTELS,DEBIT CRD PUR INTL 07/03 RADISSON FORT GEOR BELIZE BZ 434256XXXXXX8245 624186548260108 ?MCC=3649,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,3014
Travel,Rental Car,7/7/14,,YELLOW CARD SERVIC,CHECK CRD PURCHASE 07/03 YELLOW CARD SERVIC SAN FRANCISCO CA 434256XXXXXX8245 464184433263017 ?MCC=4121,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,5040
Insurance/Financial,Other Insurance/Financial,7/8/14,,WELLS FARGO,INTERNATIONAL PURCHASE TRANSACTION FEE,PMA Checking XXXXXX5366,428
Insurance/Financial,Other Insurance/Financial,7/8/14,,WELLS FARGO,INTERNATIONAL PURCHASE TRANSACTION FEE,PMA Checking XXXXXX5366,90
Travel,Lodging,7/8/14,,THE GREAT HOUSE,DEBIT CRD PUR INTL 07/04 THE GREAT HOUSE # BELIZE BZ 434256XXXXXX8245 624189549408463 ?MCC=7011,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,14267
Travel,Lodging,7/8/14,,THE GREAT HOUSE,DEBIT CRD PUR INTL 07/04 THE GREAT HOUSE # BELIZE BZ 434256XXXXXX8245 624189549408464 ?MCC=7011,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,3026
Food/Drink,Restaurants,7/10/14,,BAMBOOZE BEACH BAR,DEBIT CRD PUR INTL 07/07 BAMBOOZE BEACH BAR CAYE CAULKER BZ 434256XXXXXX8245 584188785322909 ?MCC=5812,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2913
Insurance/Financial,Other Insurance/Financial,7/10/14,,WELLS FARGO,INTERNATIONAL PURCHASE TRANSACTION FEE,PMA Checking XXXXXX5366,87
Entertainment,Books/Magazines/Newspapers,7/11/14,,2BUYSAFE.COM,RECUR DEBIT CRD PMT07/10 2BuySafe.com +18772926378 NL 434256XXXXXX8245 004191358560321 ?MCC=5968,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1100
Insurance/Financial,Other Insurance/Financial,7/14/14,,WELLS FARGO,INTERNATIONAL PURCHASE TRANSACTION FEE,PMA Checking XXXXXX5366,48
Shopping,Gifts,7/14/14,,NEWBLESSINGS-HOUSE,DEBIT CRD PUR INTL 07/13 NEWBLESSINGS-HOUSE LADY VILLE BZ 434256XXXXXX8245 384194812146831 ?MCC=5947,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1614
Insurance/Financial,Other Insurance/Financial,7/15/14,,WELLS FARGO,INTERNATIONAL PURCHASE TRANSACTION FEE,PMA Checking XXXXXX5366,267
Insurance/Financial,Other Insurance/Financial,7/15/14,,WELLS FARGO,INTERNATIONAL PURCHASE TRANSACTION FEE,PMA Checking XXXXXX5366,1330
Travel,Lodging,7/15/14,,MAYA BEACH HOTEL,DEBIT CRD PUR INTL 07/12 MAYA BEACH HOTEL PLACENCIA BZ 434256XXXXXX8245 624196551401614 ?MCC=7011,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,8928
Travel,Lodging,7/15/14,,SINGING SANDS INN,DEBIT CRD PUR INTL 07/13 SINGING SANDS INN PLACENCIA BZ 434256XXXXXX8245 624196551401615 ?MCC=7011,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,44338
Credit Card/Loan Payments,Non-Wells Fargo Credit Card Payments,7/16/14,WILMINGTON,BANK OF AMERICA CREDIT CARD,Card Payments (non-WF)-BANK OF AMERICA CREDIT CARD,Old Checking XXXXXX5384,5000
Entertainment,Music,7/16/14,,APL ITUNES.COM BI,CHECK CRD PURCHASE 07/15 APL* ITUNES.COM/BI 866-712-7753 CA 434256XXXXXX8245 304196337236229 ?MCC=5735,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,496
Food/Drink,Restaurants,7/16/14,,WONDERLAND RESTAUR,CHECK CRD PURCHASE 07/14 WONDERLAND RESTAUR 415-6695157 CA 434256XXXXXX8245 304196087674776 ?MCC=5812,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1981
Shopping,Clothing/Accessories,7/16/14,,URBAN OUT FITTERS,CHECK CRD PUR RTRN 07/14 URBAN-OUTFITTERS # SAN FRANCISCO CA 434256XXXXXX8245 614197545807963 ?MCC=5651,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,-2610
Credit Card/Loan Payments,Loan/Line of Credit Payments,7/18/14,,WELLS FARGO CONSUMER LOANS & LINES OF CREDIT,ONLINE TRANSFER REF #IBE2N44DHF TO PERSONAL LOAN UNSECURED XXXXXX90710001 ON 07/18/14,Old Checking XXXXXX5384,32487
Food/Drink,Fast Food,7/18/14,,STARBUCKS,CHECK CRD PURCHASE 07/17 STARBUCKS #05396 S San Francisco CA 434256XXXXXX8245 304198538701011 ?MCC=5814,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,535
Food/Drink,Fast Food,7/18/14,,THE LITTLE CHIHUAH,CHECK CRD PURCHASE 07/17 THE LITTLE CHIHUAH SAN FRANCISCO CA 434256XXXXXX8245 384197083592869 ?MCC=5814,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1914
Shopping,Other Shopping,7/18/14,,PAYPAL,PAYPAL INST XFER 140717 FASTSPRING TRAVIS LAWRENCE PAYPALSI77 FASTSPRING 0O00000091003855985761,Old Checking XXXXXX5384,2500
Bills/Utilities,Phone/Internet,7/19/14,SEATTLE,COMCAST CABLE COMMUNICATIONS -16-DIGIT ACCOUNT NUMBERS,Phone/Internet-COMCAST CABLE COMMUNICATIONS -16-DIGIT ACCOUNT NUMBERS,Old Checking XXXXXX5384,9100
Credit Card/Loan Payments,Non-Wells Fargo Credit Card Payments,7/19/14,CITY OF INDUSTRY,CAPITAL ONE CREDIT CARD,Card Payments (non-WF)-CAPITAL ONE CREDIT CARD,Old Checking XXXXXX5384,59022
Entertainment,Books/Magazines/Newspapers,7/21/14,,NETFLIX.COM,RECUR DEBIT CRD PMT07/18 NETFLIX.COM NETFLIX.COM CA 434256XXXXXX8245 384199082826838 ?MCC=5968,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,799
Food/Drink,Fast Food,7/21/14,,PEETS COFFEE AND TEA,CHECK CRD PURCHASE 07/19 PEETS 12902 SAN FRANCISCO CA 434256XXXXXX8245 464200601666035 ?MCC=5814,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1750
Food/Drink,Groceries,7/21/14,,SUPERETTE MARKET,CHECK CRD PURCHASE 07/18 SUPERETTE MARKET SAN FRANCISCO CA 434256XXXXXX8245 084200095352994 ?MCC=5499,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1424
Food/Drink,Restaurants,7/21/14,,PATXI'S PIZZA-HAYE,CHECK CRD PURCHASE 07/19 PATXI'S PIZZA-HAYE SAN FRANCISCO CA 434256XXXXXX8245 304201032830779 ?MCC=5812,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,3128
Food/Drink,Restaurants,7/21/14,,WONDERLAND RESTAUR,CHECK CRD PURCHASE 07/18 WONDERLAND RESTAUR 415-6695157 CA 434256XXXXXX8245 304200087923024 ?MCC=5812,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1981
Pets,Pet Food/Supplies,7/21/14,,PET,POS PURCHASE - PETCO 1334 SAN FRANCISCOCA 8245 00384201680605958 ?MCC=5995,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2336
Bills/Utilities,Phone/Internet,7/22/14,ATLANTA,AT&T MOBILITY,Phone/Internet-AT&T MOBILITY,Old Checking XXXXXX5384,17239
Credit Card/Loan Payments,Non-Wells Fargo Credit Card Payments,7/22/14,DES MOINES,CITI CARDS,Card Payments (non-WF)-CITI CARDS,Old Checking XXXXXX5384,1619
Food/Drink,Groceries,7/22/14,,MUNCHERY,"RECUR DEBIT CRD PMT07/21 MUNCHERY, INC. 888-458-5376 CA 434256XXXXXX8245 384202731347916 ?MCC=5499",Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1245
Credit Card/Loan Payments,Non-Wells Fargo Credit Card Payments,7/23/14,WILMINGTON,BANK OF AMERICA CREDIT CARD,Card Payments (non-WF)-BANK OF AMERICA CREDIT CARD,Old Checking XXXXXX5384,300000
Food/Drink,Groceries,7/23/14,,SUPERETTE MARKET,CHECK CRD PURCHASE 07/21 SUPERETTE MARKET SAN FRANCISCO CA 434256XXXXXX8245 284203061188654 ?MCC=5499,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1315
Shopping,Other Shopping,7/24/14,,PAYPAL,PAYPAL INST XFER 140723 EAT24COMINC TRAVIS LAWRENCE PAYPALSI77 EAT24COMINC 0O00000091003756229453,Old Checking XXXXXX5384,2418
Cash/ATM,Wells Fargo ATM,7/25/14,,,ATM WITHDRAWAL - SAN FRANCISCO DIVISAD SAN FRANCISCO CA 8245 0000278,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,8000
Cash/ATM,Wells Fargo ATM,7/28/14,,,ATM WITHDRAWAL - 468 COLUMBUS AVE SAN FRANCISCO CA 8245 0006384,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,8000
Cash/ATM,Wells Fargo ATM,7/28/14,,,ATM WITHDRAWAL - SAN FRANCISCO ELLIS S SAN FRANCISCO CA 8245 0004049,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,16000
Food/Drink,Fast Food,7/28/14,,THE LITTLE CHIHUAH,CHECK CRD PURCHASE 07/25 THE LITTLE CHIHUAH SAN FRANCISCO CA 434256XXXXXX8245 464204081921189 ?MCC=5814,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1201
Food/Drink,Groceries,7/28/14,,FALLETTI FOODS,CHECK CRD PURCHASE 07/25 FALLETTI FOODS SAN FRANCISCO CA 434256XXXXXX8245 004206758243744 ?MCC=5411,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1138
Food/Drink,Groceries,7/28/14,,SUPERETTE MARKET,CHECK CRD PURCHASE 07/24 SUPERETTE MARKET SAN FRANCISCO CA 434256XXXXXX8245 084206062885071 ?MCC=5499,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,1424
Food/Drink,Groceries,7/28/14,,SUPERETTE MARKET,CHECK CRD PURCHASE 07/25 SUPERETTE MARKET SAN FRANCISCO CA 434256XXXXXX8245 164207154869385 ?MCC=5499,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2532
Food/Drink,Restaurants,7/28/14,,NOAH'S BAGELS,CHECK CRD PURCHASE 07/27 NOAH'S BAGELS #214 SAN FRANCISCO CA 434256XXXXXX8245 464208644277907 ?MCC=5812,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,977
Food/Drink,Restaurants,7/28/14,,SQ OAKSIDE CAFE,CHECK CRD PURCHASE 07/25 SQ *OAKSIDE CAFE San Francisco CA 434256XXXXXX8245 464206595716393 ?MCC=5812,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,395
Pets,Veterinarian,7/28/14,,LUVMYPET,POS PURCHASE - LUVMYPET NEWARK CA 8245 00464208638632591 ?MCC=0742,Debit Card/ATM Card XXXX-XXXX-XXXX-8245,2800
Shopping,Other Shopping,7/28/14,,PAYPAL,PAYPAL INST XFER 140728 QELLO LLC TRAVIS LAWRENCE PAYPALSI77 QELLO LLC 0O00000091004256834267,Old Checking XXXXXX5384,499
